DEMO-ADDRESS-1,"Г МОСКВА, УЛ МАЛАЯ ГРУЗИНСКАЯ, Д 10, СТР 1",123242
DEMO-ADDRESS-2,"Г МОСКВА, ХОРОШЕВСКИЙ 3-Й ПР, Д 1, КОРП 1",123007
DEMO-ADDRESS-3,"г Москва, шоссе Измайловское, д 44",105679
DEMO-ADDRESS-4,"г Москва, ул Черняховского, д 16",125319
DEMO-ADDRESS-5,"Самарская область, г Тольятти, бульв Цветной, д 14, кв 45",445030
DEMO-ADDRESS-6,"Г МОСКВА, УЛ ДОКУКИНА, Д 8, КОРП 2, КВ 712",129226
DEMO-ADDRESS-7,"Г МОСКВА, УЛ ИЛЬИНКА, Д 6/1, КОРП 1",109012
DEMO-ADDRESS-8,"Россия, г. Москва, ул. Тверская, д. 111",654321
DEMO-ADDRESS-9,"Россия, г. Москва, ул. Свободы, д. 0, корп. 0, кв. 0",000000
DEMO-ADDRESS-10,"Россия, г. Москва, ул. Свободы, д. 10, корп. 10, кв. 10",123456
ed657943470c55f5bf41aae09da8318d6025a789,"Область Самарская, Город Тольятти, Бульвар Цветной, 14, 45",445030
